"","Sample","Joint.Location","Pathotype","Seropositivity","GCTreatment","Protocol","Sex","Age"
"AL627309.1",0.287825022505583,0.00988527064279543,0.0174980594562113,0.000133751420927641,0.00149263212626538,0.00148444459961983,0.0278326774631577,0.00104036602966984
"AL627309.3",0.054507536516557,0.00692887498799921,0.00863484288683436,0.0109529727099988,0.00265394978908873,0.00361807756268373,0.000286258369930348,0.0029497705339887
"AL627309.5",0.571535903259335,0.0282317816165167,0.0593010170890529,0.0135768735470165,0.0202807676530692,0.0106236311114727,0.0432862205290263,0.0228458387635411
"AL627309.4",0.0830349853661594,0.010943945197639,0.0236546659388437,0.00205722717404599,0.0102200390738272,9.1777701560769e-05,0.0014146269833093,0.00199721585707469
"AL669831.2",0.0168131796551729,0.00624915884126498,0.00252294626286176,0.0029598621539062,0.000555698254578463,2.23525871700936e-05,0.000495382841136927,5.35293275150117e-05
"LINC01409",1.00039066613221,0.102808350272321,0.247004528458916,0.041561133130541,0.332707021228174,0.0539442726047445,0.0143467348878379,0.281302832881436
"FAM87B",0.0856989642283867,0.0257808464667275,0.0191624732472251,0.0101217718639135,9.14799688556123e-05,0.0146916613120385,0.00258809010037497,0.000390199417665826
"LINC01128",0.658941455336004,0.0555160570670066,0.398129439097294,0.0659838840689653,0.0143847599531566,0.013948615946735,0.00910887071129407,0.049866472459148
"LINC00115",0.113905544939907,0.00602780447380713,0.0259830942726302,0.00107261625161836,0.0168528649677757,0.000254023001200476,0.00460063881622119,0.000414687079819398
"FAM41C",0.405386032378352,0.175380576061968,0.00379325884057868,0.000908220969719764,0.00351986760617207,0.00719485364757411,0.00840874765657418,6.64141183714939e-05
"AL645608.6",0.290717183668743,0.0605888278883637,0.0024513230824752,0.0370645465710639,0.00644292282776515,0.0324030935887731,0.0506666961988311,0.0461784894681627
"AL645608.2",0.046207829415823,0.000253411991291141,0.0119108903676834,0.00138493394762351,0.000562381504654041,0.000191707028274202,0.0102853784201051,5.25359306502438e-05
"AL645608.4",0.0497971075631209,0.0137042654741792,0.000271656117456498,0.000442284302548668,0.00214193187969558,0.00433331102980272,0.00442841671620675,0.00469900774899834
"LINC02593",0.428732501372509,0.130880418658996,0.00273289690084777,0.0140875647914207,0.0196375422941153,0.0500858704585494,0.00021724819474489,0.0348119363287602
"SAMD11",2.64816214841055,0.545859512607338,0.064118441724792,0.108716542856491,0.0464498013142522,0.285055836619919,0.338652070079648,0.232253263964821
"NOC2L",0.56444969691406,0.145814878624562,0.323418752402882,0.0625868537046381,0.0320720341277392,0.0793501162753896,0.150570527703875,0.00865412658549447
"KLHL17",0.0835984937487932,0.0240654557327136,0.0179677238491327,0.000948316331528254,0.0103892658841365,0.00487748203591432,0.0183537962089475,0.00598609384812043
"PLEKHN1",0.441474481628912,0.0186273376776347,0.106728999088401,0.00194471906855842,0.0800251820126552,0.0728267904254731,0.0348363272472563,0.0518811270958985
"PERM1",0.0260048083165265,0.0011255333678406,0.00333893389671269,0.00122474726136357,0.00019321229121072,1.47781137327385e-06,0.00128602049306314,0.00562920104490994
"AL645608.7",0.127153828671611,0.00419886463017827,0.0404013455472807,0.00564260783457726,0.0119767164211915,0.0134181764928076,0.00109097575402561,0.000118971818530156
"HES4",3.06477650863243,0.144473719985794,0.436891355966951,0.096065588795835,0.359769230407747,0.146865593546597,1.64862145564821,0.0444499921471664
"ISG15",5.5779043410689,0.768902932996807,0.320232167413226,0.0199826714146978,1.13094497873958,0.426205903228793,0.000604972513207347,2.0187443672081
"AL645608.1",0.031620518217268,0.0108706760985955,0.00235863017992166,0.00178935991517193,0.00106220227859,0.00246622026043308,0.00141357691868516,0.000104871859696321
"AGRN",1.47297872743847,0.111491088923288,0.11872021509326,0.117268824399985,0.441590733284491,0.00362362732574395,0.0575389344766752,0.00482024456450736
"AL645608.8",0.0144732358071553,0.00251632086035736,0.000534508373972731,1.63731858626726e-05,0.000205376244444277,0.000252028983982466,0.00207471110156288,0.000527462188404382
"RNF223",0.0290126740824626,0.00180390949319209,0.00295330086732548,0.00358484958375982,0.00211390513895626,0.0010736218873264,0.00224536280799548,0.000554999458368677
"C1orf159",0.563249637670293,0.0384482296695743,0.182455304366247,0.0660504296268849,0.0859015955821385,0.0382840003111395,0.21503762848617,0.0661857131308508
